release_id,estimation_period,frame_vintage,universe,geography_level,geography_id,concept,estimand,estimate,unit,weighted_numerator,weighted_denominator,coverage,design_id,weight_semantics,uncertainty_status
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,50,poverty,fgt0,0.40033659876465993,proportion,2348.7748249522597,5867.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,50,poverty,fgt1,0.20809823385279372,proportion,1220.9123380143408,5867.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,50,poverty,fgt2,0.14974269855368594,proportion,878.5404124144753,5867.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,50,indigence,fgt0,0.16622141427572815,proportion,975.221037555697,5867.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,50,indigence,fgt1,0.10801425913513998,proportion,633.7196583458663,5867.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,50,indigence,fgt2,0.09120596190273782,proportion,535.1053784833628,5867.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,54,poverty,fgt0,0.5188605633704297,proportion,1888.652450668364,3640.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,54,poverty,fgt1,0.2989010549260559,proportion,1087.9998399308436,3640.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,54,poverty,fgt2,0.22695785894515702,proportion,826.1266065603716,3640.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,54,indigence,fgt0,0.281749546204909,proportion,1025.5683481858687,3640.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,54,indigence,fgt1,0.18520933661526287,proportion,674.1619852795568,3640.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,54,indigence,fgt2,0.156312964047499,proportion,568.9791891328964,3640.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,58,poverty,fgt0,0.4753263920049068,proportion,1043.8167568427752,2196.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
